A Abreviation,Dog,H Abreviation,Matchup ID,Schedule Date,Schedule Playoff,Schedule Week,Stadium,Team Favorite Id,Team ID,Team's playing,Team_Season,Opponent Score,Schedule Season,Score Away,Score Home,Spread,Team Score
ARI,ARI,LAC,ARILAC,12/31/2006,FALSE,17,Qualcomm Stadium,LAC,ARI,ARI@LAC,2006_ARI,27,2006,20,27,14,20
ARI,ARI,LAC,ARILAC,12/31/2006,FALSE,17,Qualcomm Stadium,LAC,LAC,ARI@LAC,2006_LAC,20,2006,20,27,-14,27
LAR,LAR,ATL,ATLLAR,12/28/2008,FALSE,17,Georgia Dome,ATL,ATL,LAR@ATL,2008_ATL,27,2008,27,31,-14,31
LAR,LAR,ATL,ATLLAR,12/28/2008,FALSE,17,Georgia Dome,ATL,LAR,LAR@ATL,2008_LAR,31,2008,27,31,14,27
ATL,ATL,LAR,ATLLAR,9/18/2022,FALSE,2,SoFi Stadium,LAR,ATL,ATL@LAR,2022_ATL,31,2022,27,31,10,27
ATL,ATL,LAR,ATLLAR,9/18/2022,FALSE,2,SoFi Stadium,LAR,LAR,ATL@LAR,2022_LAR,27,2022,27,31,-10,31
LVR,LVR,BUF,BUFLVR,9/21/2008,FALSE,3,Ralph Wilson Stadium,BUF,BUF,LVR@BUF,2008_BUF,23,2008,23,24,-10,24
LVR,LVR,BUF,BUFLVR,9/21/2008,FALSE,3,Ralph Wilson Stadium,BUF,LVR,LVR@BUF,2008_LVR,24,2008,23,24,10,23
CLE,CLE,MIA,CLEMIA,9/25/2016,FALSE,3,Sun Life Stadium,MIA,CLE,CLE@MIA,2016_CLE,30,2016,24,30,10,24
CLE,CLE,MIA,CLEMIA,9/25/2016,FALSE,3,Sun Life Stadium,MIA,MIA,CLE@MIA,2016_MIA,24,2016,24,30,-10,30
IND,IND,TB,INDTB,10/3/2011,FALSE,4,Raymond James Stadium,TB,IND,IND@TB,2011_IND,24,2011,17,24,10,17
IND,IND,TB,INDTB,10/3/2011,FALSE,4,Raymond James Stadium,TB,TB,IND@TB,2011_TB,17,2011,17,24,-10,24
SF,SF,LAC,LACSF,9/30/2018,FALSE,4,StubHub Center,LAC,LAC,SF@LAC,2018_LAC,27,2018,27,29,-10.5,29
SF,SF,LAC,LACSF,9/30/2018,FALSE,4,StubHub Center,LAC,SF,SF@LAC,2018_SF,29,2018,27,29,10.5,27
DET,DET,NYG,DETNYG,10/17/2010,FALSE,6,MetLife Stadium,NYG,DET,DET@NYG,2010_DET,28,2010,20,28,10,20
DET,DET,NYG,DETNYG,10/17/2010,FALSE,6,MetLife Stadium,NYG,NYG,DET@NYG,2010_NYG,20,2010,20,28,-10,28
LAC,LAC,BUF,BUFLAC,10/15/2000,FALSE,7,Ralph Wilson Stadium,BUF,LAC,LAC@BUF,2000_LAC,27,2000,24,27,10,24
CAR,CAR,KC,CARKC,11/8/2020,FALSE,9,Arrowhead Stadium,KC,CAR,CAR@KC,2020_CAR,33,2020,31,33,10,31
CAR,CAR,KC,CARKC,11/8/2020,FALSE,9,Arrowhead Stadium,KC,KC,CAR@KC,2020_KC,31,2020,31,33,-10,33
TB,TB,MIA,MIATB,11/15/2009,FALSE,10,Sun Life Stadium,MIA,MIA,TB@MIA,2009_MIA,23,2009,23,25,-10,25
TB,TB,MIA,MIATB,11/15/2009,FALSE,10,Sun Life Stadium,MIA,TB,TB@MIA,2009_TB,25,2009,23,25,10,23
DEN,DEN,MIN,DENMIN,11/17/2019,FALSE,11,U.S. Bank Stadium,MIN,DEN,DEN@MIN,2019_DEN,27,2019,23,27,10,23
DEN,DEN,MIN,DENMIN,11/17/2019,FALSE,11,U.S. Bank Stadium,MIN,MIN,DEN@MIN,2019_MIN,23,2019,23,27,-10,27
NYJ,NYJ,TEN,NYJTEN,12/2/2018,FALSE,13,Nissan Stadium,TEN,NYJ,NYJ@TEN,2018_NYJ,26,2018,22,26,10.5,22
NYJ,NYJ,TEN,NYJTEN,12/2/2018,FALSE,13,Nissan Stadium,TEN,TEN,NYJ@TEN,2018_TEN,22,2018,22,26,-10.5,26
CIN,CIN,NE,CINNE,12/12/2004,FALSE,14,Gillette Stadium,NE,CIN,CIN@NE,2004_CIN,35,2004,28,35,10.5,28
CIN,CIN,NE,CINNE,12/12/2004,FALSE,14,Gillette Stadium,NE,NE,CIN@NE,2004_NE,28,2004,28,35,-10.5,35
SEA,SEA,DEN,DENSEA,12/10/2000,FALSE,15,Mile High Stadium,DEN,SEA,SEA@DEN,2000_SEA,31,2000,24,31,10,24
ATL,ATL,ARI,ARIATL,12/23/2007,FALSE,16,University of Phoenix Stadium,ARI,ARI,ATL@ARI,2007_ARI,27,2007,27,30,-10.5,30
ATL,ATL,ARI,ARIATL,12/23/2007,FALSE,16,University of Phoenix Stadium,ARI,ATL,ATL@ARI,2007_ATL,30,2007,27,30,10.5,27
NYG,NYG,IND,INDNYG,12/23/2018,FALSE,16,Lucas Oil Stadium,IND,IND,NYG@IND,2018_IND,27,2018,27,28,-10,28
NYG,NYG,IND,INDNYG,12/23/2018,FALSE,16,Lucas Oil Stadium,IND,NYG,NYG@IND,2018_NYG,28,2018,27,28,10,27
DET,DET,NO,DETNO,9/13/2009,FALSE,1,Louisiana Superdome,NO,DET,DET@NO,2009_DET,45,2009,27,45,14,27
DET,DET,NO,DETNO,9/13/2009,FALSE,1,Louisiana Superdome,NO,NO,DET@NO,2009_NO,27,2009,27,45,-14,45
KC,KC,BAL,BALKC,9/13/2009,FALSE,1,M&T Bank Stadium,BAL,BAL,KC@BAL,2009_BAL,24,2009,24,38,-13,38
KC,KC,BAL,BALKC,9/13/2009,FALSE,1,M&T Bank Stadium,BAL,KC,KC@BAL,2009_KC,38,2009,24,38,13,24
SF,SF,PHI,PHISF,9/18/2005,FALSE,2,Lincoln Financial Field,PHI,PHI,SF@PHI,2005_PHI,3,2005,3,42,-11.5,42
SF,SF,PHI,PHISF,9/18/2005,FALSE,2,Lincoln Financial Field,PHI,SF,SF@PHI,2005_SF,42,2005,3,42,11.5,3
TEN,TEN,LAC,LACTEN,9/17/2006,FALSE,2,Qualcomm Stadium,LAC,LAC,TEN@LAC,2006_LAC,7,2006,7,40,-12,40
TEN,TEN,LAC,LACTEN,9/17/2006,FALSE,2,Qualcomm Stadium,LAC,TEN,TEN@LAC,2006_TEN,40,2006,7,40,12,7
SF,SF,CAR,CARSF,9/18/2016,FALSE,2,Bank of America Stadium,CAR,CAR,SF@CAR,2016_CAR,27,2016,27,46,-12.5,46
SF,SF,CAR,CARSF,9/18/2016,FALSE,2,Bank of America Stadium,CAR,SF,SF@CAR,2016_SF,46,2016,27,46,12.5,27
NYJ,NYJ,LVR,LVRNYJ,9/17/2017,FALSE,2,Oakland Coliseum,LVR,LVR,NYJ@LVR,2017_LVR,20,2017,20,45,-14,45
NYJ,NYJ,LVR,LVRNYJ,9/17/2017,FALSE,2,Oakland Coliseum,LVR,NYJ,NYJ@LVR,2017_NYJ,45,2017,20,45,14,20
JAX,JAX,SEA,JAXSEA,9/22/2013,FALSE,3,CenturyLink Field,SEA,JAX,JAX@SEA,2013_JAX,45,2013,17,45,20,17
JAX,JAX,SEA,JAXSEA,9/22/2013,FALSE,3,CenturyLink Field,SEA,SEA,JAX@SEA,2013_SEA,17,2013,17,45,-20,45
JAX,JAX,NE,JAXNE,9/27/2015,FALSE,3,Gillette Stadium,NE,JAX,JAX@NE,2015_JAX,51,2015,17,51,14,17
JAX,JAX,NE,JAXNE,9/27/2015,FALSE,3,Gillette Stadium,NE,NE,JAX@NE,2015_NE,17,2015,17,51,-14,51
DEN,DEN,GB,DENGB,10/2/2011,FALSE,4,Lambeau Field,GB,DEN,DEN@GB,2011_DEN,49,2011,23,49,12,23
DEN,DEN,GB,DENGB,10/2/2011,FALSE,4,Lambeau Field,GB,GB,DEN@GB,2011_GB,23,2011,23,49,-12,49
PHI,PHI,DEN,DENPHI,9/29/2013,FALSE,4,Sports Authority Field at Mile High,DEN,DEN,PHI@DEN,2013_DEN,20,2013,20,52,-11.5,52
PHI,PHI,DEN,DENPHI,9/29/2013,FALSE,4,Sports Authority Field at Mile High,DEN,PHI,PHI@DEN,2013_PHI,52,2013,20,52,11.5,20
